Leonardo,da Vinci,1452-04-15,Anchiano
Niccolò,Macchiavelli,1469-05-03,Firenze
Johann Friedrich Carl,Gauss,1777-04-30,Braunschweig
John,Von Neumann,1903-12-28,Budapest
Ludwig,van Beethoven,1770-12-16,Bonn
